ə
eɪ
eɪ z
eɪ
eɪ z
eɪ z
æ b ə
n ə l
æ b ə
ə n iː
æ b ə
n iː z
ə b ɔː
ɔː ɹ n
ə b ɔː
ɔː ɹ t
ə b ɔː
t ɪ d
ə b ɔː
ə n t
ə b ɔː
n t s
ə b ɔː
t ɪ ŋ
ə b ɔː
ʃ ə n
ə b ɔː
ɪ s t
ə b ɔː
s t s
ə b ɔː
n ɪ s
ə b ɔː
ə n z
ə b ɔː
t ɪ v
ə b ɔː
ɹ t s
ə b ɑː
b ɑː t
ə b uː
ɑː b uː
b uː d
ɑː b uː
iː m ə
ɑː b uː
m ə z
ə b aʊ
aʊ n d
ə b aʊ
d ɪ d
ə b aʊ
d ɪ ŋ
ə b aʊ
n d z
ə b aʊ
b aʊ t
ə b aʊ
aʊ t s
ə b ʌ
b ʌ v
ə b ʌ
ʌ v z
ə b ʌ
ɔː ɹ d
æ b p
æ l p
ɑː b ɹ
b ɹ ə
æ b ɹ
b ɹ ə
eɪ b ɹ
h æ m
æ b ɹ
iː ə n
eɪ b ɹ
æ m z
æ b ɹ
s ə n
ə b ɹ
s ə n
ə b ɹ
ɹ æ m
eɪ b ɹ
ə m z
ɑː b ɹ
tʃ ɪ k
ɑː b ɹ
ɑː m oʊ
ə b ɹ
ɪ t s
ə b ɹ
v ɪ tʃ
ə b ɹ
ɪ t s
eɪ b ɹ
ə m z
eɪ b ɹ
z ɪ z
eɪ b ɹ
s ə n
ə b ɹ
ʒ ə n
ə b ɹ
ə n z
ə b ɹ
s ɪ v
ə b ɹ
ɪ v z
ə b ɹ
k s ə
ə b ɹ
s ə z
ə b ɹ
s ə z
ə b ɹ
ɛ s t
ɑː b ɹ
ɛ ɡ oʊ
ə b ɹ
b ɹ uː
ə b ɹ
ɹ ɪ dʒ
ə b ɹ
ɪ dʒ d
ə b ɹ
ə n t
ə b ɹ
dʒ ə z
ə b ɹ
dʒ ɪ ŋ
ə b ɹ
ɹ ɪ l
ə b ɹ
ɹ ɔː d
æ b ɹ
ɡ eɪ t
æ b ɹ
t ɪ d
æ b ɹ
t ɪ ŋ
æ b ɹ
ʃ ə n
ə b ɹ
ɹ oʊ l
ə b ɹ
ɹ ɑː n
ə b ɹ
ʌ p t
ə b ɹ
t l iː
ə b ɹ
n ə s
eɪ b ɹ
t ɪ n
ɑː b ɹ
eɪ z iː
ɑː b ɹ
uː z oʊ
eɪ b iː
iː ɛ s
æ b z
æ b s
l ə m
æ b s
ə k ə
æ b s
k æ m
æ b s
s ɛ s
æ b s
ɑː n d
æ b s
d ə d
æ b s
d ɪ ŋ
æ b s
n d z
æ b s
k ɔː n
æ b s
ə n s
æ b s
s ɪ z
æ b s
ə n t
æ b s
n t iː
æ b s
z ə m
æ b s
t iː z
æ b s
n ʃ ə
æ b ʃ
ʃ ə ɹ
æ b ʃ
iː ə ɹ
æ b ʃ
ʃ aɪ ɹ
æ b s
ɪ n θ
æ b s
b s oʊ
æ b s
l ə m
æ b s
l uː t
æ b s
uː t s
æ b s
l uː t
æ b s
t l iː
æ b s
n ə s
æ b s
uː t s
æ b s
ʃ ə n
æ b s
z ə m
æ b s
ɪ s t
ə b z
ɑː l v
æ b z
ɑː l v
ə b z
l v d
æ b z
l v d
ə b z
l v z
æ b z
l v z
ə b z
v ɪ ŋ
æ b z
v ɪ ŋ
ə b z
ɔː ɹ b
ə b z
ɹ b d
ə b z
n s iː
ə b z
ə n t
ə b z
b ə ɹ
ə b z
ə ɹ z
ə b z
b ɪ ŋ
ə b z
ɹ b z
ə b z
ʃ ə n
ə b s
ʃ ə n
ə b s
t eɪ n
æ b s
t eɪ n
ə b s
eɪ n d
æ b s
eɪ n d
ə b s
n ɪ ŋ
æ b s
n ɪ ŋ
ə b s
tʃ ə n
æ b s
tʃ ə n
ə b s
ə n z
æ b s
ə n z
æ b s
ə n s
æ b s
ə n t
æ b s
t ə n
æ b s
æ k t
æ b s
æ k t
æ b s
t ɪ d
æ b s
ʃ ə n
æ b s
ə n z
æ b s
k t s
ə b s
ɹ uː s
ə b s
ɛ ɹ d
ə b s
ɪ s t
ə b s
t iː z
ə b s
ə t iː
ə b s
d l iː
æ b t
eɪ b iː
iː t iː
æ b t
b t s
eɪ b iː
t iː z
eɪ b iː
iː ɛ s
æ b uː
ə b ʌ
ɹ ə m
ə b w
ɛ l ə
ə b w
l ə z
æ b j
d z iː
ə b ʌ
ə n s
ə b ʌ
ə n t
ə b ʌ
t l iː
ə b ʊ
ɹ t oʊ
ə b ʊ
t oʊ z
ə b j
j uː s
ə b j
j uː z
ə b j
uː z d
ə b j
z ə ɹ
ə b j
ə ɹ z
ə b j
s ɪ z
ə b j
z ɪ z
ə b j
z ɪ ŋ
ə b j
s ɪ v
ə b ʌ
b ʌ t
ə b ʌ
ʌ t s
ə b ʌ
t ə d
ə b ʌ
t ɪ ŋ
ə b ʌ
b ʌ z
ə b ɪ
m ə l
ə b ɪ
ə l iː
ə b ɪ
b ɪ s
æ b s
n iː ə
æ b s
iː ə n
æ b z
z ʌ ɡ
æ b z
z ʊ ɡ
eɪ s iː
æ k ə
ə k eɪ
eɪ ʃ ə
æ k ə
d iː m
æ k ə
m iː ə
æ k ə
m ɪ k
æ k ə
k l iː
æ k ə
ʃ ə n
æ k ə
ə n z
ə k æ
ə n z
æ k ə
ɪ k s
ə k æ
m iː z
ə k æ
ə m iː
ə k æ
m iː z
ə k eɪ
d iː ə
ə k ɑː
m p oʊ
ə k æ
ə ɹ ə
ə k æ
s j ə
ɑː k ɑː
n ð ə
æ k ə
l k oʊ
æ k ə
ə ɹ iː
ɑː k ɑː
ɹ d iː
ɑː k ɑː
ɹ d oʊ
æ k s
s iː d
æ k s
d ɪ d
æ k s
iː d z
æ k s
d ɪ ŋ
ə k s
s ɛ l
æ k s
ə n t
æ k s
n t s
æ k s
ɹ eɪ t
æ k s
t ɪ d
æ k s
eɪ t s
æ k s
t ɪ ŋ
æ k s
ʃ ə n
æ k s
t ə ɹ
æ k s
ə ɹ z
æ k s
t ə ɹ
æ k s
ə ɹ z
ə k s
ɛ n t
æ k s
ɛ n t
æ k s
t ɪ d
æ k s
t ɪ ŋ
æ k s
n t s
æ k s
uː eɪ t
æ k s
t ɪ d
æ k s
eɪ t s
æ k s
t ɪ ŋ
æ k s
ɛ p t
ə k s
ɛ p t
ə k s
ə t iː
æ k s
b ə l
ə k s
b ə l
æ k s
b l iː
ə k s
b l iː
æ k s
ə n s
ə k s
ə n s
æ k s
s ɪ z
æ k s
t ɪ d
ə k s
t ə d
æ k s
t ɪ ŋ
ə k s
t ɪ ŋ
æ k s
p t s
æ k s
s ɛ s
æ k s
ɛ s t
æ k s
ɪ t iː
æ k s
b ə l
æ k s
s ɪ ŋ
ə k s
ʃ ə n
æ k s
ɹ iː z
æ k s
ɹ aɪ z
æ k s
aɪ z d
æ k s
ə ɹ iː
ɑː tʃ ɛ
ɛ t ə
æ k s
ə n t
æ k s
n t s
æ k s
t ə l
æ k s
n ə l
æ k s
ə l iː
æ k s
ə l iː
æ k s
t l iː
æ k s
n t s
æ tʃ iː
iː ə n
æ s ɪ
v ɑː l
ə k l
l eɪ m
ə k l
eɪ m z
ə k l
eɪ m d
ə k l
m ɪ ŋ
ə k l
eɪ m z
æ k l
ʃ ə n
æ k l
m eɪ t
æ k l
t ɪ d
æ k l
ʃ ə n
æ k oʊ
æ k oʊ
k iː k
ɑː k oʊ
oʊ l ə
æ k ə
l eɪ d
æ k ə
eɪ d z
ɑː k oʊ
n d oʊ
ə k ɑː
d eɪ t
ə k ɑː
t ə d
ə k ɑː
eɪ t s
ə k ɑː
t ɪ ŋ
ə k ɑː
ʃ ə n
ə k ɑː
ə n z
ə k ɑː
t ɪ v
ə k ʌ
n iː d
ə k ʌ
n iː z
ə k ʌ
ə n t
ə k ʌ
ə n t
ə k ʌ
n t s
ə k ʌ
n t s
ə k ʌ
ə s t
ə k ʌ
ə n iː
ə k ʌ
iː ɪ ŋ
ɑː k ɑː
p l iː
ə k ɑː
p l iː
ə k ɑː
l ə s
ə k ɑː
s ə z
ə k ɑː
l ɪ ʃ
ə k ɑː
ɪ ʃ t
ə k ɑː
ʃ ɪ z
ə k ɑː
ʃ ɪ ŋ
ə k ɑː
ə n t
ə k ɑː
n t s
æ k ɔː
k ɔː ɹ
æ k ə
ə ɹ z
ə k ɔː
ɔː ɹ d
ə k ɔː
ɹ d z
ə k ɔː
ə n s
ə k ɔː
d ɪ d
ə k ɔː
d ɪ ŋ
ə k ɔː
ŋ l iː
ə k ɔː
iː ə n
ə k ɔː
ə n z
ə k ɔː
ɹ d z
ə k ɔː
ɔː s t
ə k ɑː
t ə d
ə k ɑː
t ɪ ŋ
ə k aʊ
aʊ n t
ə k aʊ
n t s
ə k aʊ
ɪ t iː
ə k aʊ
ɪ t iː
ə k aʊ
b ə l
ə k aʊ
b ə l
ə k aʊ
n s iː
ə k aʊ
ə n t
ə k aʊ
n t s
ə k aʊ
n t s
ə k aʊ
n t s
ə k aʊ
t ə d
ə k aʊ
n ə d
ə k aʊ
ɛ m p
ə k aʊ
m p s
ə k aʊ
t ɪ ŋ
ə k aʊ
n ɪ ŋ
ə k aʊ
n t s
ə k uː
ə n t
ə k uː
n t s
ə k uː
ə n t
ə k uː
n t s
ə k ɹ
d ə t
ə k ɹ
ʃ ə n
ə k ɹ
ə n z
ə k ɹ
t ɪ d
ə k ɹ
t ɪ ŋ
ə k ɹ
t ɪ d
ə k ɹ
ʃ ə n
ə k ɹ
uː ə l
ə k ɹ
ə l z
ə k ɹ
k ɹ uː
ə k ɹ
ɹ uː d
ə k ɹ
ɹ uː z
ə k ɹ
uː ɪ ŋ
æ k j
k j uː
æ k j
ɛ l θ
ə k j
l eɪ t
ə k j
t ɪ d
ə k j
eɪ t s
ə k j
t ɪ ŋ
ə k j
ʃ ə n
ə k j
ə n z
ə k j
t ɪ v
ə k j
v l iː
ə k j
v l iː
ə k j
t ə ɹ
ə k j
ə ɹ z
æ k j
s iː z
æ k j
ə s iː
æ k j
ɹ ə t
æ k j
t l iː
æ k j
ə ɹ eɪ
æ k j
ɹ eɪ z
æ k j
ɹ aɪ d
ɑː k ʊ
ɹ s oʊ
æ k j
ʃ ə n
æ k j
ʃ ə n
æ k j
ə n z
æ k j
ə n z
ə k j
t ɪ v
ə k j
ɔː ɹ iː
ə k j
j uː z
ə k j
uː z d
ə k j
z ə ɹ
ə k j
ə ɹ z
ə k j
z ɪ z
ə k j
z ɪ ŋ
ə k j
ŋ l iː
ə k ʌ
t ə m
ə k ʌ
ə m d
æ k j
t eɪ n
eɪ s
eɪ s k
k ɑː m
eɪ s t
eɪ s ə
s ə ɹ
ə s ɛ
b ɪ k
ə s ɛ
ɛ ɹ oʊ
ə s j
ɛ ɹ oʊ
ə θ ɛ
ɛ ɹ oʊ
ə s ɛ
ɛ ɹ ə
eɪ s ɪ
s ɪ z
ə s iː
f ə n
æ s ə
t eɪ t
ə s ɛ
t ɪ k
ə s iː
t ɪ k
ɑː s ɛ
ɛ t oʊ
ɑː s ɛ
l ɔː ɹ
æ s ə
t oʊ n
ə s ɛ
ɡ ɔː n
ə s ɛ
l iː n
ə s iː
l iː n
ə s ɛ
l iː n
æ s ə
eɪ d oʊ
ɑː s eɪ
v ɛ s
eɪ s iː
ə tʃ iː
iː ə n
æ k ə
ə t s
eɪ k
ɑː tʃ eɪ
eɪ b iː
eɪ k t
ə tʃ iː
æ k ɪ
b ɑː k
æ k ə
b aʊ m
eɪ k s
æ tʃ ə
s ə n
æ tʃ ə
ə n z
æ tʃ ə
ə n z
æ tʃ iː
ə tʃ iː
iː v ə
ə tʃ iː
b ə l
ə tʃ iː
tʃ iː v
ə tʃ iː
iː v d
ə tʃ iː
ə n t
ə tʃ iː
n t s
ə tʃ iː
v ə ɹ
ə tʃ iː
ə ɹ z
ə tʃ iː
iː v z
ə tʃ iː
v ɪ ŋ
ə k ɪ
ɪ l iː
ə k ɪ
l iː z
ə k ɪ
l iː z
eɪ k ɪ
k ɪ ŋ
eɪ k ɪ
ŋ l iː
ɑː h m
m ɛ d
ə tʃ oʊ
tʃ oʊ ə
ə tʃ oʊ
oʊ ə z
eɪ k ə
k ə ɹ
æ k ɔː
ɔː ɹ d
æ k ə
ə ɹ n
æ k t
ə ɹ ɡ
æ k t
ə ɹ ɡ
eɪ k iː
æ s ə
s ə d
ə s ɪ
d ɪ k
ə s ɪ
ʃ ə n
ə s ɪ
f aɪ d
ə s ɪ
f aɪ z
ə s ɪ
ə f aɪ
ə s ɪ
ə t iː
æ s ə
d l iː
æ s ə
s ə s
æ s ə
ə d z
æ s ə
ɹ iː ə
ɑː s ɪ
ɹ n oʊ
æ k
æ k ə
k ə ɹ
æ k ə
ə ɹ z
æ k ə
ɹ l iː
æ k ə
ɹ l iː
æ k ə
m ə n
æ k ə
m ə n
æ k ə
v ɪ l
æ k ə
s ə n
æ k ə
ə ɹ t
æ k h
h aʊ s
æ k l
ə n d
æ k ə
ə l z
æ k l
k l iː
æ k l
l ɪ n
æ k m
m ə n
æ k n
l ɪ dʒ
ɪ k n
l ɪ dʒ
æ k n
b ə l
ɪ k n
b ə l
æ k n
ɪ dʒ d
ɪ k n
ɪ dʒ d
æ k n
ə n t
ɪ k n
ə n t
æ k n
n t s
ɪ k n
n t s
æ k n
dʒ ɪ z
ɪ k n
dʒ ɪ z
æ k n
dʒ ɪ ŋ
ɪ k n
dʒ ɪ ŋ
æ k n
ə n t
ɪ k n
ə n t
æ k ɹ
ɔː j d
æ k ɹ
j d z
æ k m
m æ t
æ k m
æ t s
æ k m
k m iː
æ k m
m iː z
æ k n
k n iː
ɑː k oʊ
ɛ l ə
æ k ɔː
k ɔː f
ə k ɔː
k ɔː ɡ
æ k ə
l aɪ t
æ k ə
aɪ t s
ə k ɔː
ɔː ɹ d
ə k ɔː
d iː ə
eɪ k ɔː
ɔː ɹ n
eɪ k ɔː
ɹ n z
eɪ k ɔː
ɹ n z
ə k ɔː
s t ə
eɪ k ɔː
k ɔː t
ə k uː
t ɪ k
ə k uː
k ə l
ə k uː
k l iː
ə k uː
ɪ k s
ə k w
eɪ n t
ə k w
ə n s
ə k w
s ɪ z
ə k w
ʃ ɪ p
ə k w
t ɪ d
ə k w
n ɪ d
ɑː k w
iː v ə
æ k w
iː ɛ s
æ k w
ɛ s t
æ k w
ə n s
æ k w
s ɪ ŋ
ə k w
aɪ ə ɹ
ə k w
ə ɹ d
ə k w
ɹ ə ɹ
ə k w
ə ɹ z
ə k w
ə ɹ z
ə k w
ə ɹ z
ə k w
ɹ ɪ ŋ
ə k w
ɹ ɪ ŋ
æ k w
ʃ ə n
æ k w
ə n z
æ k w
ə n z
ə k w
t ɪ v
ə k w
w ɪ t
æ k w
t eɪ n
ə k w
ɪ t s
ə k w
t ə l
ə k w
ə l z
ə k w
t ə d
ə k w
t ɪ d
ə k w
t ɪ ŋ
eɪ k ə
k ə ɹ
eɪ k ə
ɹ ɪ dʒ
eɪ k ɹ
ɹ ə dʒ
ə k ɹ
k ɹ iː
eɪ k ə
ə ɹ z
æ k ɹ
k ɹ iː
ɑː k ɹ
k ɹ iː
æ k ɹ
ɹ ɪ d
æ k ɹ
iː ə s
æ k ɹ
oʊ n iː
æ k ɹ
k ɹ oʊ
æ k ɹ
b æ t
æ k ɹ
t ɪ k
æ k ɹ
ɪ k s
æ k ɹ
æ t s
æ k ɹ
l iː n
æ k ɹ
n ɪ m
æ k ɹ
ɪ m z
ə k ɹ
l ə s
ə k ɹ
ɹ ɔː s
ə k ɹ
l ɪ k
ə k ɹ
ɪ k s
æ k t
æ k t
k t s
æ k t
ɑː v ə
æ k t
v ə z
æ k t
v ə z
æ k t
t ə d
æ k t
t ɪ d
æ k t
t ɛ l
æ k t
ɡ ɔː l
æ k t
t ə n
æ k t
t ɪ ŋ
æ k t
n aɪ d
æ k t
d iː ə
æ k t
s ɪ s
æ k ʃ
ʃ ə n
æ k ʃ
ə n z
æ k ʃ
b ə l
æ k ʃ
ə n z
æ k t
v eɪ z
æ k t
v eɪ t
æ k t
t ə d
æ k t
t ɪ d
æ k t
eɪ t s
æ k t
t ɪ ŋ
æ k t
ʃ ə n
æ k t
t ə ɹ
æ k t
t ɪ v
æ k t
ɪ v z
æ k t
v l iː
æ k t
ɪ v z
æ k t
ʒ ə n
æ k t
z ə m
æ k t
ə s t
æ k t
ɪ s t
æ k t
s t s
æ k t
s t s
æ k t
v ə s
æ k t
v ɪ s
æ k t
s t s
æ k t
v ɪ s
æ k t
t iː z
æ k t
t iː z
æ k t
ə t iː
æ k t
ɪ t iː
æ k t
d iː ə
æ k t
d aɪ n
æ k t
t ə n
æ k t
t ə ɹ
æ k t
ə ɹ z
æ k t
ə ɹ z
æ k t
ə ɹ z
æ k t
ɹ ə s
æ k t
s ɪ z
æ k t
s ɪ z
æ k t
k t s
æ k s
æ k tʃ
w ə l
æ k ʃ
ʃ ə l
æ k tʃ
ə t iː
æ k tʃ
l aɪ z
æ k tʃ
ə l iː
æ k tʃ
tʃ l iː
æ k ʃ
ə l iː
æ k tʃ
iː ə l
æ k tʃ
ɹ iː z
æ k tʃ
ɛ ɹ iː
æ k tʃ
uː eɪ t
æ k t
t ə ɹ
æ k tʃ
t ə ɹ
æ k t
ə ɹ z
æ k tʃ
ə ɹ z
æ k t
t ə s
ə k ʌ
k ʌ f
ə k j
ə t iː
ə k j
m ə n
ɑː k uː
uː n ə
æ k j
tʃ ə ɹ
æ k j
ə ɹ ə
æ k j
ɹ ə z
æ k j
ɹ ə z
æ k j
s ə n
æ k j
t ɑː ɹ
æ k j
ɪ s t
ə k j
j uː t
ə k j
t l iː
ə k j
n ə s
ə s ɪ
v ɪ ɹ
æ d
æ d z
æ d h
h ɑː k
æ d l
l ɪ b
æ d n
iː ə m
eɪ d ə
eɪ d ə
d ə z
æ d ə
b ɛ l
æ d ə
b ə l
ɑː d ɑː
ɑː k iː
æ d ə
d ə dʒ
æ d ɪ
d ɪ dʒ
ə d ɑː
ʒ iː oʊ
æ d ɑː
ə d ɛ
d ɛ ɹ
ɑː d ɛ
d ɛ ɹ
ə d æ
d æ k
ɑː d ɑː
ɑː l ə
ɑː d ɑː
l iː ə
æ d ə
d ə m
æ d ə
ə m z
æ d ə
ə n t
æ d ə
t l iː
ɑː d ə
tʃ ɪ k
ɑː d ə
tʃ æ k
ɑː d ə
tʃ ɪ k
ɑː d ɑː
ɑː m iː
ə d ɑː
m ɪ k
ə d ɑː
m ɛ k
ə d eɪ
eɪ m z
ɑː d ɑː
ɑː m iː
ə d ɑː
m ɪ k
ɑː d ɑː
iː n ə
æ d ə
k ə s
ɑː d ɑː
ɑː m oʊ
ə d ɑː
v ɪ tʃ
æ d ə
ə m z
æ d ə
ə m z
æ d ə
z ɪ z
ə d æ
s k iː
æ d ə
s ə n
æ d ə
t aʊ n
eɪ d ə
d ə n
ə d æ
p s oʊ
ə d æ
æ p t
ə d æ
ə t iː
ə d æ
b ə l
ə d æ
ɛ k s
æ d ə
ʃ ə n
æ d æ
ə n z
æ d ə
ə n z
ə d æ
t ɛ k
ə d æ
ɛ k s
ə d æ
t ə d
ə d æ
t ɪ d
ə d æ
t ə ɹ
ə d æ
ə ɹ z
ə d æ
t ɪ ŋ
ə d æ
t ɪ v
ə d æ
t ə ɹ
ə d æ
ə ɹ z
ə d æ
p t s
ə d ɑː
d ɑː ɹ
æ d ə
æ n d
eɪ d ə
d ə z
ə d eɪ
ə d ɑː
ɑː z ə
ə d k
k ɑː k
ə d k
ɑː k s
æ d
ə d ɛ
d ɛ ɹ
æ d ə
ə m z
æ d ə
d ə d
æ d ɪ
d ɪ d
ə d ɛ
d ə m
ə d ɛ
ə m z
ɑː d iː
d iː oʊ
æ d ə
d ə ɹ
ə d ɛ
ɹ l iː
æ d ɪ
ɪ k s
ə d ɪ
ɪ k t
æ d ɪ
ɪ k t
ə d ɪ
t ə d
ə d ɪ
t ɪ d
ə d ɪ
t ɪ ŋ
ə d ɪ
ʃ ə n
ə d ɪ
ə n z
ə d ɪ
t ɪ v
ə d ɪ
k t s
æ d ɪ
k t s
ə d iː
d ə s
ə d iː
d ə s
ə d iː
s ɪ z
ə d iː
s ɪ z
æ d iː
æ d ɪ
d ɪ ŋ
æ d ɪ
t ə n
ɑː d ɪ
d ɪ s
ɑː d ɪ
ɑː b ə
ɑː d iː
ɑː b ə
æ d ə
s ə n
æ d ɪ
s ə n
æ d ɪ
ə n z
ə d ɪ
ʃ ə n
ə d ɪ
n ə l
ə d ɪ
n ə l
ə d ɪ
ə l iː
ə d ɪ
ə l iː
ə d ɪ
ə n z
æ d ə
t ɪ v
æ d ɪ
t ɪ v
æ d ə
ɪ v z
æ d ɪ
ɪ v z
æ d ə
d ə l
æ d ə
ə l d
æ d ə
m ə n
æ d ɹ
ɹ ɛ s
ə d ɹ
ɹ ɛ s
ə d ɹ
b ə l
ə d ɹ
ɛ s t
æ d ɹ
ɛ s iː
æ d ɹ
s ɪ z
ə d ɹ
s ɪ z
ə d ɹ
s ɪ ŋ
æ d z
ɑː d uː
uː tʃ iː
æ d ə
ə k t
æ d w
ɛ s t
æ d iː
æ d iː
t ə n
eɪ d
ə d iː
ə d ɛ
d ɛ l
ə d ɛ
ɛ l ə
æ d ə
l ɑː ɹ
